measurement,problem,phi,column,free_set_size,constant_column,n_evals,seed,defined,value,tail_share,chance_rate,protected_index
m-2_overhang,p0,ls,0,0,False,5000,14,True,0.0,1.0,1.0,2977
m-1_tail_survival_lift,p0,ls,1,0,False,5000,14,True,1.0,1.0,1.0,2831
m-2_overhang,p0,ls,1,0,False,5000,14,True,0.0,1.0,1.0,2831
m-1_tail_survival_lift,p0,ls,2,1,True,5000,14,False,,,,
m-2_overhang,p0,ls,2,1,True,5000,14,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,5000,14,True,1.0,1.0,1.0,2831
m-2_overhang,p0,ls,3,0,False,5000,14,True,0.0,1.0,1.0,2831
m-1_tail_survival_lift,p0,ls,0,0,False,5000,15,True,1.0,1.0,1.0,3418
m-2_overhang,p0,ls,0,0,False,5000,15,True,0.0,1.0,1.0,3418
m-1_tail_survival_lift,p0,ls,1,0,False,5000,15,True,1.0,1.0,1.0,610
m-2_overhang,p0,ls,1,0,False,5000,15,True,0.0,1.0,1.0,610
m-1_tail_survival_lift,p0,ls,2,1,True,5000,15,False,,,,
m-2_overhang,p0,ls,2,1,True,5000,15,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,5000,15,True,1.0,1.0,1.0,610
m-2_overhang,p0,ls,3,0,False,5000,15,True,0.0,1.0,1.0,610
m-1_tail_survival_lift,p0,cw,0,1,True,5000,11,False,,,,
m-2_overhang,p0,cw,0,1,True,5000,11,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,5000,11,True,166.66666666666666,0.03333333333333333,0.0002,1202
m-2_overhang,p0,cw,1,0,False,5000,11,True,0.0,0.03333333333333333,0.0002,1202
m-1_tail_survival_lift,p0,cw,2,0,False,5000,11,True,166.66666666666666,0.03333333333333333,0.0002,1202
m-2_overhang,p0,cw,2,0,False,5000,11,True,0.0,0.03333333333333333,0.0002,1202
m-1_tail_survival_lift,p0,cw,3,0,False,5000,11,True,166.66666666666666,0.03333333333333333,0.0002,1202
m-2_overhang,p0,cw,3,0,False,5000,11,True,0.0,0.03333333333333333,0.0002,1202
m-1_tail_survival_lift,p0,cw,0,1,True,5000,12,False,,,,
m-2_overhang,p0,cw,0,1,True,5000,12,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,5000,12,True,166.66666666666666,0.03333333333333333,0.0002,1067
m-2_overhang,p0,cw,1,0,False,5000,12,True,0.0,0.03333333333333333,0.0002,1067
m-1_tail_survival_lift,p0,cw,2,0,False,5000,12,True,166.66666666666666,0.03333333333333333,0.0002,1067
m-2_overhang,p0,cw,2,0,False,5000,12,True,0.0,0.03333333333333333,0.0002,1067
m-1_tail_survival_lift,p0,cw,3,0,False,5000,12,True,166.66666666666666,0.03333333333333333,0.0002,1067
m-2_overhang,p0,cw,3,0,False,5000,12,True,0.0,0.03333333333333333,0.0002,1067
m-1_tail_survival_lift,p0,cw,0,1,True,5000,13,False,,,,
m-2_overhang,p0,cw,0,1,True,5000,13,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,5000,13,True,166.66666666666666,0.03333333333333333,0.0002,791
m-2_overhang,p0,cw,1,0,False,5000,13,True,0.0,0.03333333333333333,0.0002,791
m-1_tail_survival_lift,p0,cw,2,0,False,5000,13,True,166.66666666666666,0.03333333333333333,0.0002,791
m-2_overhang,p0,cw,2,0,False,5000,13,True,0.0,0.03333333333333333,0.0002,791
m-1_tail_survival_lift,p0,cw,3,0,False,5000,13,True,166.66666666666666,0.03333333333333333,0.0002,791
m-2_overhang,p0,cw,3,0,False,5000,13,True,0.0,0.03333333333333333,0.0002,791
m-1_tail_survival_lift,p0,cw,0,1,True,5000,14,False,,,,
m-2_overhang,p0,cw,0,1,True,5000,14,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,5000,14,True,166.66666666666666,0.03333333333333333,0.0002,2831
