problem,solver,phi_a,phi_b,status,metric,eps,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
zdt1_interval,random_search,lu,ls,check,hausdorff_a_to_b,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_b_to_a,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_symmetric,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_a_under_b,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_b_under_a,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_a_to_b,0.0,5000,13,23,23,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_b_to_a,0.0,5000,13,23,23,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_symmetric,0.0,5000,13,23,23,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_a_under_b,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_b_under_a,0.0,5000,13,23,23,0.2738612787525831,,1.0
zdt1_interval,random_search,ls,cw,check,hausdorff_a_to_b,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_b_to_a,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_symmetric,0.0,5000,13,23,23,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_a_under_b,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_b_under_a,0.0,5000,13,23,23,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,hausdorff_a_to_b,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_b_to_a,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_symmetric,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_a_under_b,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_b_under_a,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_a_to_b,0.0,5000,14,22,22,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_b_to_a,0.0,5000,14,22,22,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_symmetric,0.0,5000,14,22,22,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_a_under_b,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_b_under_a,0.0,5000,14,22,22,0.2738612787525831,,1.0
zdt1_interval,random_search,ls,cw,check,hausdorff_a_to_b,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_b_to_a,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_symmetric,0.0,5000,14,22,22,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_a_under_b,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_b_under_a,0.0,5000,14,22,22,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,hausdorff_a_to_b,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_b_to_a,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,hausdorff_symmetric,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_a_under_b,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,cross_b_under_a,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_a_to_b,0.0,5000,15,15,15,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_b_to_a,0.0,5000,15,15,15,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,hausdorff_symmetric,0.0,5000,15,15,15,0.2738612787525831,,0.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_a_under_b,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,lu,cw,finding,cross_b_under_a,0.0,5000,15,15,15,0.2738612787525831,,1.0
zdt1_interval,random_search,ls,cw,check,hausdorff_a_to_b,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_b_to_a,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,hausdorff_symmetric,0.0,5000,15,15,15,0.2738612787525831,0,0.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_a_under_b,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,ls,cw,check,cross_b_under_a,0.0,5000,15,15,15,0.2738612787525831,0,1.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,11,17,17,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,12,18,18,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,13,23,23,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,14,22,22,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_a_in_b,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,coverage_b_in_a,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,ls,check,overlap_jaccard,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_a_in_b,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,coverage_b_in_a,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,lu,cw,finding,overlap_jaccard,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_a_in_b,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,coverage_b_in_a,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search,ls,cw,check,overlap_jaccard,0.0,5000,15,15,15,0.0,,1.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_a_in_b,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_b_in_a,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap_jaccard,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_a_in_b,0.0,5000,12,18,23,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_b_in_a,0.0,5000,12,18,23,0.2738612787525831,,0.0
