problem,solver,phi,eps,n_evals,seed,generation,n_candidates,n_pop,rank_1_of_candidates,survivors_from_rank_1,n_fronts
zdt1_interval,nsga2,lu,0.0,5000,11,1,100,100,10,10,11
zdt1_interval,nsga2,lu,0.0,5000,11,2,200,100,17,17,17
zdt1_interval,nsga2,lu,0.0,5000,11,3,200,100,13,13,14
zdt1_interval,nsga2,lu,0.0,5000,11,4,200,100,17,17,14
zdt1_interval,nsga2,lu,0.0,5000,11,5,200,100,19,19,13
zdt1_interval,nsga2,lu,0.0,5000,11,6,200,100,15,15,11
zdt1_interval,nsga2,lu,0.0,5000,11,7,200,100,14,14,14
zdt1_interval,nsga2,lu,0.0,5000,11,8,200,100,16,16,10
zdt1_interval,nsga2,lu,0.0,5000,11,9,200,100,11,11,14
zdt1_interval,nsga2,lu,0.0,5000,11,10,200,100,19,19,12
zdt1_interval,nsga2,lu,0.0,5000,11,11,200,100,24,24,14
zdt1_interval,nsga2,lu,0.0,5000,11,12,200,100,17,17,13
zdt1_interval,nsga2,lu,0.0,5000,11,13,200,100,17,17,10
zdt1_interval,nsga2,lu,0.0,5000,11,14,200,100,18,18,12
zdt1_interval,nsga2,lu,0.0,5000,11,15,200,100,23,23,11
zdt1_interval,nsga2,lu,0.0,5000,11,16,200,100,25,25,11
zdt1_interval,nsga2,lu,0.0,5000,11,17,200,100,30,30,12
zdt1_interval,nsga2,lu,0.0,5000,11,18,200,100,34,34,11
zdt1_interval,nsga2,lu,0.0,5000,11,19,200,100,34,34,8
zdt1_interval,nsga2,lu,0.0,5000,11,20,200,100,29,29,8
zdt1_interval,nsga2,lu,0.0,5000,11,21,200,100,28,28,8
zdt1_interval,nsga2,lu,0.0,5000,11,22,200,100,28,28,9
zdt1_interval,nsga2,lu,0.0,5000,11,23,200,100,34,34,9
zdt1_interval,nsga2,lu,0.0,5000,11,24,200,100,38,38,8
zdt1_interval,nsga2,lu,0.0,5000,11,25,200,100,38,38,7
zdt1_interval,nsga2,lu,0.0,5000,11,26,200,100,39,39,8
zdt1_interval,nsga2,lu,0.0,5000,11,27,200,100,36,36,9
zdt1_interval,nsga2,lu,0.0,5000,11,28,200,100,45,45,9
zdt1_interval,nsga2,lu,0.0,5000,11,29,200,100,46,46,9
zdt1_interval,nsga2,lu,0.0,5000,11,30,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,11,31,200,100,55,55,7
zdt1_interval,nsga2,lu,0.0,5000,11,32,200,100,45,45,7
zdt1_interval,nsga2,lu,0.0,5000,11,33,200,100,41,41,6
zdt1_interval,nsga2,lu,0.0,5000,11,34,200,100,40,40,7
zdt1_interval,nsga2,lu,0.0,5000,11,35,200,100,43,43,7
zdt1_interval,nsga2,lu,0.0,5000,11,36,200,100,35,35,8
zdt1_interval,nsga2,lu,0.0,5000,11,37,200,100,30,30,7
zdt1_interval,nsga2,lu,0.0,5000,11,38,200,100,28,28,8
zdt1_interval,nsga2,lu,0.0,5000,11,39,200,100,31,31,8
zdt1_interval,nsga2,lu,0.0,5000,11,40,200,100,48,48,8
zdt1_interval,nsga2,lu,0.0,5000,11,41,200,100,48,48,8
zdt1_interval,nsga2,lu,0.0,5000,11,42,200,100,49,49,7
zdt1_interval,nsga2,lu,0.0,5000,11,43,200,100,54,54,6
zdt1_interval,nsga2,lu,0.0,5000,11,44,200,100,60,60,6
zdt1_interval,nsga2,lu,0.0,5000,11,45,200,100,68,68,6
zdt1_interval,nsga2,lu,0.0,5000,11,46,200,100,65,65,7
zdt1_interval,nsga2,lu,0.0,5000,11,47,200,100,57,57,6
zdt1_interval,nsga2,lu,0.0,5000,11,48,200,100,61,61,5
zdt1_interval,nsga2,lu,0.0,5000,11,49,200,100,58,58,6
zdt1_interval,nsga2,lu,0.0,5000,11,50,200,100,57,57,7
zdt1_interval,nsga2,lu,0.0,5000,12,1,100,100,14,14,10
zdt1_interval,nsga2,lu,0.0,5000,12,2,200,100,10,10,17
zdt1_interval,nsga2,lu,0.0,5000,12,3,200,100,12,12,14
zdt1_interval,nsga2,lu,0.0,5000,12,4,200,100,16,16,15
zdt1_interval,nsga2,lu,0.0,5000,12,5,200,100,16,16,15
zdt1_interval,nsga2,lu,0.0,5000,12,6,200,100,17,17,11
zdt1_interval,nsga2,lu,0.0,5000,12,7,200,100,15,15,12
zdt1_interval,nsga2,lu,0.0,5000,12,8,200,100,17,17,11
zdt1_interval,nsga2,lu,0.0,5000,12,9,200,100,21,21,11
zdt1_interval,nsga2,lu,0.0,5000,12,10,200,100,21,21,11
zdt1_interval,nsga2,lu,0.0,5000,12,11,200,100,17,17,10
zdt1_interval,nsga2,lu,0.0,5000,12,12,200,100,20,20,10
zdt1_interval,nsga2,lu,0.0,5000,12,13,200,100,23,23,10
zdt1_interval,nsga2,lu,0.0,5000,12,14,200,100,18,18,12
zdt1_interval,nsga2,lu,0.0,5000,12,15,200,100,21,21,11
zdt1_interval,nsga2,lu,0.0,5000,12,16,200,100,15,15,13
zdt1_interval,nsga2,lu,0.0,5000,12,17,200,100,11,11,11
zdt1_interval,nsga2,lu,0.0,5000,12,18,200,100,12,12,10
zdt1_interval,nsga2,lu,0.0,5000,12,19,200,100,19,19,11
zdt1_interval,nsga2,lu,0.0,5000,12,20,200,100,24,24,11
zdt1_interval,nsga2,lu,0.0,5000,12,21,200,100,27,27,13
zdt1_interval,nsga2,lu,0.0,5000,12,22,200,100,32,32,11
zdt1_interval,nsga2,lu,0.0,5000,12,23,200,100,27,27,10
zdt1_interval,nsga2,lu,0.0,5000,12,24,200,100,32,32,10
zdt1_interval,nsga2,lu,0.0,5000,12,25,200,100,30,30,9
zdt1_interval,nsga2,lu,0.0,5000,12,26,200,100,32,32,9
zdt1_interval,nsga2,lu,0.0,5000,12,27,200,100,32,32,9
zdt1_interval,nsga2,lu,0.0,5000,12,28,200,100,33,33,9
zdt1_interval,nsga2,lu,0.0,5000,12,29,200,100,35,35,9
zdt1_interval,nsga2,lu,0.0,5000,12,30,200,100,40,40,9
zdt1_interval,nsga2,lu,0.0,5000,12,31,200,100,37,37,7
zdt1_interval,nsga2,lu,0.0,5000,12,32,200,100,44,44,7
zdt1_interval,nsga2,lu,0.0,5000,12,33,200,100,45,45,8
zdt1_interval,nsga2,lu,0.0,5000,12,34,200,100,37,37,7
zdt1_interval,nsga2,lu,0.0,5000,12,35,200,100,38,38,7
zdt1_interval,nsga2,lu,0.0,5000,12,36,200,100,39,39,7
zdt1_interval,nsga2,lu,0.0,5000,12,37,200,100,36,36,8
zdt1_interval,nsga2,lu,0.0,5000,12,38,200,100,42,42,7
zdt1_interval,nsga2,lu,0.0,5000,12,39,200,100,43,43,7
zdt1_interval,nsga2,lu,0.0,5000,12,40,200,100,41,41,7
zdt1_interval,nsga2,lu,0.0,5000,12,41,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,12,42,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,12,43,200,100,46,46,7
zdt1_interval,nsga2,lu,0.0,5000,12,44,200,100,37,37,9
zdt1_interval,nsga2,lu,0.0,5000,12,45,200,100,38,38,7
zdt1_interval,nsga2,lu,0.0,5000,12,46,200,100,49,49,8
zdt1_interval,nsga2,lu,0.0,5000,12,47,200,100,53,53,6
zdt1_interval,nsga2,lu,0.0,5000,12,48,200,100,57,57,6
zdt1_interval,nsga2,lu,0.0,5000,12,49,200,100,66,66,6
zdt1_interval,nsga2,lu,0.0,5000,12,50,200,100,69,69,6
zdt1_interval,nsga2,lu,0.0,5000,13,1,100,100,9,9,12
zdt1_interval,nsga2,lu,0.0,5000,13,2,200,100,12,12,18
zdt1_interval,nsga2,lu,0.0,5000,13,3,200,100,14,14,12
zdt1_interval,nsga2,lu,0.0,5000,13,4,200,100,18,18,12
zdt1_interval,nsga2,lu,0.0,5000,13,5,200,100,12,12,15
zdt1_interval,nsga2,lu,0.0,5000,13,6,200,100,17,17,13
zdt1_interval,nsga2,lu,0.0,5000,13,7,200,100,13,13,17
zdt1_interval,nsga2,lu,0.0,5000,13,8,200,100,15,15,13
zdt1_interval,nsga2,lu,0.0,5000,13,9,200,100,17,17,14
zdt1_interval,nsga2,lu,0.0,5000,13,10,200,100,20,20,13
zdt1_interval,nsga2,lu,0.0,5000,13,11,200,100,20,20,12
zdt1_interval,nsga2,lu,0.0,5000,13,12,200,100,16,16,13
zdt1_interval,nsga2,lu,0.0,5000,13,13,200,100,16,16,12
zdt1_interval,nsga2,lu,0.0,5000,13,14,200,100,14,14,14
zdt1_interval,nsga2,lu,0.0,5000,13,15,200,100,18,18,13
zdt1_interval,nsga2,lu,0.0,5000,13,16,200,100,22,22,13
zdt1_interval,nsga2,lu,0.0,5000,13,17,200,100,19,19,11
zdt1_interval,nsga2,lu,0.0,5000,13,18,200,100,20,20,11
zdt1_interval,nsga2,lu,0.0,5000,13,19,200,100,19,19,11
zdt1_interval,nsga2,lu,0.0,5000,13,20,200,100,21,21,9
zdt1_interval,nsga2,lu,0.0,5000,13,21,200,100,23,23,10
zdt1_interval,nsga2,lu,0.0,5000,13,22,200,100,31,31,9
zdt1_interval,nsga2,lu,0.0,5000,13,23,200,100,30,30,11
zdt1_interval,nsga2,lu,0.0,5000,13,24,200,100,26,26,8
zdt1_interval,nsga2,lu,0.0,5000,13,25,200,100,34,34,9
zdt1_interval,nsga2,lu,0.0,5000,13,26,200,100,33,33,9
zdt1_interval,nsga2,lu,0.0,5000,13,27,200,100,30,30,8
zdt1_interval,nsga2,lu,0.0,5000,13,28,200,100,26,26,10
zdt1_interval,nsga2,lu,0.0,5000,13,29,200,100,33,33,7
zdt1_interval,nsga2,lu,0.0,5000,13,30,200,100,38,38,7
zdt1_interval,nsga2,lu,0.0,5000,13,31,200,100,44,44,7
zdt1_interval,nsga2,lu,0.0,5000,13,32,200,100,34,34,8
zdt1_interval,nsga2,lu,0.0,5000,13,33,200,100,42,42,9
zdt1_interval,nsga2,lu,0.0,5000,13,34,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,13,35,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,13,36,200,100,48,48,6
zdt1_interval,nsga2,lu,0.0,5000,13,37,200,100,48,48,7
zdt1_interval,nsga2,lu,0.0,5000,13,38,200,100,46,46,6
zdt1_interval,nsga2,lu,0.0,5000,13,39,200,100,47,47,7
zdt1_interval,nsga2,lu,0.0,5000,13,40,200,100,48,48,7
zdt1_interval,nsga2,lu,0.0,5000,13,41,200,100,58,58,7
zdt1_interval,nsga2,lu,0.0,5000,13,42,200,100,59,59,7
zdt1_interval,nsga2,lu,0.0,5000,13,43,200,100,54,54,6
zdt1_interval,nsga2,lu,0.0,5000,13,44,200,100,49,49,7
zdt1_interval,nsga2,lu,0.0,5000,13,45,200,100,48,48,7
zdt1_interval,nsga2,lu,0.0,5000,13,46,200,100,60,60,6
zdt1_interval,nsga2,lu,0.0,5000,13,47,200,100,62,62,6
zdt1_interval,nsga2,lu,0.0,5000,13,48,200,100,65,65,7
zdt1_interval,nsga2,lu,0.0,5000,13,49,200,100,61,61,6
zdt1_interval,nsga2,lu,0.0,5000,13,50,200,100,70,70,7
zdt1_interval,nsga2,lu,0.0,5000,14,1,100,100,11,11,10
zdt1_interval,nsga2,lu,0.0,5000,14,2,200,100,16,16,16
zdt1_interval,nsga2,lu,0.0,5000,14,3,200,100,17,17,13
zdt1_interval,nsga2,lu,0.0,5000,14,4,200,100,21,21,13
zdt1_interval,nsga2,lu,0.0,5000,14,5,200,100,16,16,12
zdt1_interval,nsga2,lu,0.0,5000,14,6,200,100,12,12,13
zdt1_interval,nsga2,lu,0.0,5000,14,7,200,100,15,15,12
zdt1_interval,nsga2,lu,0.0,5000,14,8,200,100,20,20,14
zdt1_interval,nsga2,lu,0.0,5000,14,9,200,100,15,15,12
zdt1_interval,nsga2,lu,0.0,5000,14,10,200,100,14,14,12
zdt1_interval,nsga2,lu,0.0,5000,14,11,200,100,14,14,13
zdt1_interval,nsga2,lu,0.0,5000,14,12,200,100,15,15,13
zdt1_interval,nsga2,lu,0.0,5000,14,13,200,100,17,17,13
zdt1_interval,nsga2,lu,0.0,5000,14,14,200,100,19,19,11
zdt1_interval,nsga2,lu,0.0,5000,14,15,200,100,18,18,11
zdt1_interval,nsga2,lu,0.0,5000,14,16,200,100,21,21,11
zdt1_interval,nsga2,lu,0.0,5000,14,17,200,100,23,23,10
zdt1_interval,nsga2,lu,0.0,5000,14,18,200,100,30,30,9
zdt1_interval,nsga2,lu,0.0,5000,14,19,200,100,25,25,10
zdt1_interval,nsga2,lu,0.0,5000,14,20,200,100,26,26,9
zdt1_interval,nsga2,lu,0.0,5000,14,21,200,100,27,27,8
zdt1_interval,nsga2,lu,0.0,5000,14,22,200,100,29,29,8
zdt1_interval,nsga2,lu,0.0,5000,14,23,200,100,29,29,10
zdt1_interval,nsga2,lu,0.0,5000,14,24,200,100,27,27,8
zdt1_interval,nsga2,lu,0.0,5000,14,25,200,100,32,32,7
zdt1_interval,nsga2,lu,0.0,5000,14,26,200,100,29,29,9
zdt1_interval,nsga2,lu,0.0,5000,14,27,200,100,34,34,8
zdt1_interval,nsga2,lu,0.0,5000,14,28,200,100,30,30,8
zdt1_interval,nsga2,lu,0.0,5000,14,29,200,100,33,33,9
zdt1_interval,nsga2,lu,0.0,5000,14,30,200,100,38,38,9
zdt1_interval,nsga2,lu,0.0,5000,14,31,200,100,33,33,7
zdt1_interval,nsga2,lu,0.0,5000,14,32,200,100,34,34,8
zdt1_interval,nsga2,lu,0.0,5000,14,33,200,100,39,39,8
zdt1_interval,nsga2,lu,0.0,5000,14,34,200,100,44,44,8
zdt1_interval,nsga2,lu,0.0,5000,14,35,200,100,39,39,8
zdt1_interval,nsga2,lu,0.0,5000,14,36,200,100,41,41,7
zdt1_interval,nsga2,lu,0.0,5000,14,37,200,100,39,39,9
zdt1_interval,nsga2,lu,0.0,5000,14,38,200,100,42,42,7
zdt1_interval,nsga2,lu,0.0,5000,14,39,200,100,53,53,8
zdt1_interval,nsga2,lu,0.0,5000,14,40,200,100,50,50,7
zdt1_interval,nsga2,lu,0.0,5000,14,41,200,100,51,51,7
zdt1_interval,nsga2,lu,0.0,5000,14,42,200,100,53,53,7
zdt1_interval,nsga2,lu,0.0,5000,14,43,200,100,52,52,7
zdt1_interval,nsga2,lu,0.0,5000,14,44,200,100,62,62,6
zdt1_interval,nsga2,lu,0.0,5000,14,45,200,100,63,63,6
zdt1_interval,nsga2,lu,0.0,5000,14,46,200,100,62,62,6
zdt1_interval,nsga2,lu,0.0,5000,14,47,200,100,63,63,7
zdt1_interval,nsga2,lu,0.0,5000,14,48,200,100,63,63,6
zdt1_interval,nsga2,lu,0.0,5000,14,49,200,100,78,78,5
zdt1_interval,nsga2,lu,0.0,5000,14,50,200,100,85,85,7
zdt1_interval,nsga2,lu,0.0,5000,15,1,100,100,11,11,10
zdt1_interval,nsga2,lu,0.0,5000,15,2,200,100,14,14,18
zdt1_interval,nsga2,lu,0.0,5000,15,3,200,100,13,13,12
zdt1_interval,nsga2,lu,0.0,5000,15,4,200,100,14,14,13
zdt1_interval,nsga2,lu,0.0,5000,15,5,200,100,16,16,12
zdt1_interval,nsga2,lu,0.0,5000,15,6,200,100,13,13,13
zdt1_interval,nsga2,lu,0.0,5000,15,7,200,100,25,25,10
zdt1_interval,nsga2,lu,0.0,5000,15,8,200,100,21,21,12
zdt1_interval,nsga2,lu,0.0,5000,15,9,200,100,17,17,10
zdt1_interval,nsga2,lu,0.0,5000,15,10,200,100,18,18,12
zdt1_interval,nsga2,lu,0.0,5000,15,11,200,100,18,18,13
zdt1_interval,nsga2,lu,0.0,5000,15,12,200,100,21,21,12
zdt1_interval,nsga2,lu,0.0,5000,15,13,200,100,20,20,10
zdt1_interval,nsga2,lu,0.0,5000,15,14,200,100,17,17,11
zdt1_interval,nsga2,lu,0.0,5000,15,15,200,100,22,22,11
zdt1_interval,nsga2,lu,0.0,5000,15,16,200,100,23,23,10
zdt1_interval,nsga2,lu,0.0,5000,15,17,200,100,21,21,9
zdt1_interval,nsga2,lu,0.0,5000,15,18,200,100,26,26,10
zdt1_interval,nsga2,lu,0.0,5000,15,19,200,100,25,25,9
zdt1_interval,nsga2,lu,0.0,5000,15,20,200,100,25,25,11
zdt1_interval,nsga2,lu,0.0,5000,15,21,200,100,27,27,10
zdt1_interval,nsga2,lu,0.0,5000,15,22,200,100,23,23,10
zdt1_interval,nsga2,lu,0.0,5000,15,23,200,100,29,29,9
zdt1_interval,nsga2,lu,0.0,5000,15,24,200,100,29,29,12
zdt1_interval,nsga2,lu,0.0,5000,15,25,200,100,31,31,8
zdt1_interval,nsga2,lu,0.0,5000,15,26,200,100,45,45,7
zdt1_interval,nsga2,lu,0.0,5000,15,27,200,100,47,47,7
zdt1_interval,nsga2,lu,0.0,5000,15,28,200,100,43,43,8
zdt1_interval,nsga2,lu,0.0,5000,15,29,200,100,40,40,8
zdt1_interval,nsga2,lu,0.0,5000,15,30,200,100,45,45,7
zdt1_interval,nsga2,lu,0.0,5000,15,31,200,100,46,46,8
zdt1_interval,nsga2,lu,0.0,5000,15,32,200,100,42,42,8
zdt1_interval,nsga2,lu,0.0,5000,15,33,200,100,42,42,8
zdt1_interval,nsga2,lu,0.0,5000,15,34,200,100,51,51,7
zdt1_interval,nsga2,lu,0.0,5000,15,35,200,100,40,40,7
zdt1_interval,nsga2,lu,0.0,5000,15,36,200,100,47,47,7
zdt1_interval,nsga2,lu,0.0,5000,15,37,200,100,54,54,6
zdt1_interval,nsga2,lu,0.0,5000,15,38,200,100,54,54,7
zdt1_interval,nsga2,lu,0.0,5000,15,39,200,100,44,44,7
zdt1_interval,nsga2,lu,0.0,5000,15,40,200,100,51,51,6
zdt1_interval,nsga2,lu,0.0,5000,15,41,200,100,51,51,7
zdt1_interval,nsga2,lu,0.0,5000,15,42,200,100,51,51,6
zdt1_interval,nsga2,lu,0.0,5000,15,43,200,100,55,55,7
zdt1_interval,nsga2,lu,0.0,5000,15,44,200,100,54,54,6
zdt1_interval,nsga2,lu,0.0,5000,15,45,200,100,51,51,6
zdt1_interval,nsga2,lu,0.0,5000,15,46,200,100,51,51,6
zdt1_interval,nsga2,lu,0.0,5000,15,47,200,100,51,51,7
zdt1_interval,nsga2,lu,0.0,5000,15,48,200,100,49,49,7
zdt1_interval,nsga2,lu,0.0,5000,15,49,200,100,49,49,7
zdt1_interval,nsga2,lu,0.0,5000,15,50,200,100,52,52,6
zdt1_interval,mopso,lu,0.0,5000,11,1,100,100,10,,11
zdt1_interval,mopso,lu,0.0,5000,11,2,200,100,14,,16
zdt1_interval,mopso,lu,0.0,5000,11,3,200,100,8,,23
zdt1_interval,mopso,lu,0.0,5000,11,4,200,100,7,,29
zdt1_interval,mopso,lu,0.0,5000,11,5,200,100,10,,35
zdt1_interval,mopso,lu,0.0,5000,11,6,200,100,8,,48
zdt1_interval,mopso,lu,0.0,5000,11,7,200,100,6,,51
zdt1_interval,mopso,lu,0.0,5000,11,8,200,100,6,,59
zdt1_interval,mopso,lu,0.0,5000,11,9,200,100,9,,63
zdt1_interval,mopso,lu,0.0,5000,11,10,200,100,7,,66
zdt1_interval,mopso,lu,0.0,5000,11,11,200,100,5,,94
zdt1_interval,mopso,lu,0.0,5000,11,12,200,100,10,,105
zdt1_interval,mopso,lu,0.0,5000,11,13,200,100,11,,79
zdt1_interval,mopso,lu,0.0,5000,11,14,200,100,14,,54
zdt1_interval,mopso,lu,0.0,5000,11,15,200,100,16,,59
zdt1_interval,mopso,lu,0.0,5000,11,16,200,100,17,,68
zdt1_interval,mopso,lu,0.0,5000,11,17,200,100,15,,68
zdt1_interval,mopso,lu,0.0,5000,11,18,200,100,17,,73
zdt1_interval,mopso,lu,0.0,5000,11,19,200,100,22,,76
zdt1_interval,mopso,lu,0.0,5000,11,20,200,100,22,,85
zdt1_interval,mopso,lu,0.0,5000,11,21,200,100,23,,89
zdt1_interval,mopso,lu,0.0,5000,11,22,200,100,30,,83
zdt1_interval,mopso,lu,0.0,5000,11,23,200,100,36,,78
zdt1_interval,mopso,lu,0.0,5000,11,24,200,100,32,,82
zdt1_interval,mopso,lu,0.0,5000,11,25,200,100,34,,84
zdt1_interval,mopso,lu,0.0,5000,11,26,200,100,36,,82
zdt1_interval,mopso,lu,0.0,5000,11,27,200,100,47,,75
zdt1_interval,mopso,lu,0.0,5000,11,28,200,100,55,,67
zdt1_interval,mopso,lu,0.0,5000,11,29,200,100,55,,67
zdt1_interval,mopso,lu,0.0,5000,11,30,200,100,52,,75
zdt1_interval,mopso,lu,0.0,5000,11,31,200,100,45,,80
zdt1_interval,mopso,lu,0.0,5000,11,32,200,100,55,,60
zdt1_interval,mopso,lu,0.0,5000,11,33,200,100,67,,57
zdt1_interval,mopso,lu,0.0,5000,11,34,200,100,60,,63
zdt1_interval,mopso,lu,0.0,5000,11,35,200,100,66,,54
zdt1_interval,mopso,lu,0.0,5000,11,36,200,100,60,,66
zdt1_interval,mopso,lu,0.0,5000,11,37,200,100,57,,69
zdt1_interval,mopso,lu,0.0,5000,11,38,200,100,73,,63
zdt1_interval,mopso,lu,0.0,5000,11,39,200,100,66,,74
zdt1_interval,mopso,lu,0.0,5000,11,40,200,100,68,,78
zdt1_interval,mopso,lu,0.0,5000,11,41,200,100,73,,73
zdt1_interval,mopso,lu,0.0,5000,11,42,200,100,73,,70
zdt1_interval,mopso,lu,0.0,5000,11,43,200,100,62,,77
zdt1_interval,mopso,lu,0.0,5000,11,44,200,100,75,,73
zdt1_interval,mopso,lu,0.0,5000,11,45,200,100,84,,63
zdt1_interval,mopso,lu,0.0,5000,11,46,200,100,70,,71
zdt1_interval,mopso,lu,0.0,5000,11,47,200,100,68,,73
zdt1_interval,mopso,lu,0.0,5000,11,48,200,100,78,,73
zdt1_interval,mopso,lu,0.0,5000,11,49,200,100,79,,74
zdt1_interval,mopso,lu,0.0,5000,12,1,100,100,14,,10
zdt1_interval,mopso,lu,0.0,5000,12,2,200,100,19,,15
zdt1_interval,mopso,lu,0.0,5000,12,3,200,100,15,,15
zdt1_interval,mopso,lu,0.0,5000,12,4,200,100,14,,18
zdt1_interval,mopso,lu,0.0,5000,12,5,200,100,10,,20
zdt1_interval,mopso,lu,0.0,5000,12,6,200,100,15,,27
zdt1_interval,mopso,lu,0.0,5000,12,7,200,100,13,,36
zdt1_interval,mopso,lu,0.0,5000,12,8,200,100,11,,36
zdt1_interval,mopso,lu,0.0,5000,12,9,200,100,16,,36
zdt1_interval,mopso,lu,0.0,5000,12,10,200,100,11,,35
zdt1_interval,mopso,lu,0.0,5000,12,11,200,100,13,,37
zdt1_interval,mopso,lu,0.0,5000,12,12,200,100,16,,39
zdt1_interval,mopso,lu,0.0,5000,12,13,200,100,11,,42
zdt1_interval,mopso,lu,0.0,5000,12,14,200,100,12,,48
zdt1_interval,mopso,lu,0.0,5000,12,15,200,100,10,,57
zdt1_interval,mopso,lu,0.0,5000,12,16,200,100,10,,60
zdt1_interval,mopso,lu,0.0,5000,12,17,200,100,9,,51
zdt1_interval,mopso,lu,0.0,5000,12,18,200,100,7,,67
zdt1_interval,mopso,lu,0.0,5000,12,19,200,100,6,,96
zdt1_interval,mopso,lu,0.0,5000,12,20,200,100,10,,87
zdt1_interval,mopso,lu,0.0,5000,12,21,200,100,15,,71
zdt1_interval,mopso,lu,0.0,5000,12,22,200,100,12,,77
zdt1_interval,mopso,lu,0.0,5000,12,23,200,100,17,,81
zdt1_interval,mopso,lu,0.0,5000,12,24,200,100,16,,66
zdt1_interval,mopso,lu,0.0,5000,12,25,200,100,18,,64
zdt1_interval,mopso,lu,0.0,5000,12,26,200,100,20,,76
zdt1_interval,mopso,lu,0.0,5000,12,27,200,100,23,,65
zdt1_interval,mopso,lu,0.0,5000,12,28,200,100,23,,55
zdt1_interval,mopso,lu,0.0,5000,12,29,200,100,26,,60
zdt1_interval,mopso,lu,0.0,5000,12,30,200,100,29,,67
zdt1_interval,mopso,lu,0.0,5000,12,31,200,100,34,,71
zdt1_interval,mopso,lu,0.0,5000,12,32,200,100,37,,76
zdt1_interval,mopso,lu,0.0,5000,12,33,200,100,41,,73
zdt1_interval,mopso,lu,0.0,5000,12,34,200,100,42,,65
zdt1_interval,mopso,lu,0.0,5000,12,35,200,100,39,,64
zdt1_interval,mopso,lu,0.0,5000,12,36,200,100,52,,63
zdt1_interval,mopso,lu,0.0,5000,12,37,200,100,54,,61
zdt1_interval,mopso,lu,0.0,5000,12,38,200,100,53,,66
zdt1_interval,mopso,lu,0.0,5000,12,39,200,100,55,,72
zdt1_interval,mopso,lu,0.0,5000,12,40,200,100,67,,69
zdt1_interval,mopso,lu,0.0,5000,12,41,200,100,72,,58
zdt1_interval,mopso,lu,0.0,5000,12,42,200,100,73,,51
zdt1_interval,mopso,lu,0.0,5000,12,43,200,100,68,,56
zdt1_interval,mopso,lu,0.0,5000,12,44,200,100,59,,68
zdt1_interval,mopso,lu,0.0,5000,12,45,200,100,66,,75
zdt1_interval,mopso,lu,0.0,5000,12,46,200,100,68,,70
zdt1_interval,mopso,lu,0.0,5000,12,47,200,100,85,,60
zdt1_interval,mopso,lu,0.0,5000,12,48,200,100,84,,62
zdt1_interval,mopso,lu,0.0,5000,12,49,200,100,79,,73
zdt1_interval,mopso,lu,0.0,5000,13,1,100,100,10,,12
zdt1_interval,mopso,lu,0.0,5000,13,2,200,100,10,,16
zdt1_interval,mopso,lu,0.0,5000,13,3,200,100,13,,25
zdt1_interval,mopso,lu,0.0,5000,13,4,200,100,13,,24
zdt1_interval,mopso,lu,0.0,5000,13,5,200,100,10,,26
zdt1_interval,mopso,lu,0.0,5000,13,6,200,100,10,,27
zdt1_interval,mopso,lu,0.0,5000,13,7,200,100,9,,31
zdt1_interval,mopso,lu,0.0,5000,13,8,200,100,14,,43
zdt1_interval,mopso,lu,0.0,5000,13,9,200,100,8,,40
zdt1_interval,mopso,lu,0.0,5000,13,10,200,100,5,,44
zdt1_interval,mopso,lu,0.0,5000,13,11,200,100,9,,68
zdt1_interval,mopso,lu,0.0,5000,13,12,200,100,5,,70
zdt1_interval,mopso,lu,0.0,5000,13,13,200,100,6,,70
zdt1_interval,mopso,lu,0.0,5000,13,14,200,100,9,,79
zdt1_interval,mopso,lu,0.0,5000,13,15,200,100,10,,66
zdt1_interval,mopso,lu,0.0,5000,13,16,200,100,13,,67
zdt1_interval,mopso,lu,0.0,5000,13,17,200,100,13,,83
zdt1_interval,mopso,lu,0.0,5000,13,18,200,100,18,,83
zdt1_interval,mopso,lu,0.0,5000,13,19,200,100,20,,63
zdt1_interval,mopso,lu,0.0,5000,13,20,200,100,26,,59
zdt1_interval,mopso,lu,0.0,5000,13,21,200,100,22,,71
zdt1_interval,mopso,lu,0.0,5000,13,22,200,100,23,,74
zdt1_interval,mopso,lu,0.0,5000,13,23,200,100,32,,68
zdt1_interval,mopso,lu,0.0,5000,13,24,200,100,29,,64
zdt1_interval,mopso,lu,0.0,5000,13,25,200,100,36,,58
zdt1_interval,mopso,lu,0.0,5000,13,26,200,100,37,,60
zdt1_interval,mopso,lu,0.0,5000,13,27,200,100,36,,66
zdt1_interval,mopso,lu,0.0,5000,13,28,200,100,44,,59
zdt1_interval,mopso,lu,0.0,5000,13,29,200,100,54,,59
zdt1_interval,mopso,lu,0.0,5000,13,30,200,100,49,,69
zdt1_interval,mopso,lu,0.0,5000,13,31,200,100,54,,69
zdt1_interval,mopso,lu,0.0,5000,13,32,200,100,59,,68
zdt1_interval,mopso,lu,0.0,5000,13,33,200,100,65,,68
zdt1_interval,mopso,lu,0.0,5000,13,34,200,100,65,,63
zdt1_interval,mopso,lu,0.0,5000,13,35,200,100,67,,64
